Регион,Кол-во рег. и муницип. структур по работе с молодежью,Финансирование структур по работе с молодежью,Кол-во рег. объединений,"Число членов рег. объединений, чел",Количество форумов за 2021,Численность,Члены рег. органов / Численность,Деньги / 1,Численность / Кол-во рег. объединений
Республика Хакасия,23.0,4173926,28.0,12483.0,6.0,528338,0.023626920645495875,181475.04347826086,18869.214285714286
Ростовская область,60.0,249505804,223.0,264066.0,71.0,4153763,0.06357271707605851,4158430.066666667,18626.7399103139
Рязанская область,34.0,140297559,73.0,71226.0,44.0,1085152,0.06563688773554303,4126398.794117647,14865.09589041096
Самарская область,87.0,668894461,104.0,31640.0,12.0,3131720,0.010103074348920082,7688442.08045977,30112.69230769231
Санкт-Петербург,51.0,4116479599,9.0,1820.0,24.0,5377503,0.00033844704503186704,80715286.25490196,597500.3333333334
Саратовская область,44.0,87724684,89.0,21915.0,16.0,2360959,0.009282245053810761,1993742.8181818181,26527.629213483146
Сахалинская область,22.0,464389998,329.0,685.0,8.0,484177,0.0014147718706175635,21108636.272727273,1471.662613981763
Свердловская область,111.0,628227292,57.0,3145.0,58.0,4264340,0.0007375115492667095,5659705.333333333,74812.98245614035
Севастополь,12.0,39859560,16.0,44530.0,9.0,522057,0.08529719934796393,3321630.0,32628.5625
Смоленская область,32.0,67995133,7.0,6870.0,0.0,909856,0.007550645376850842,2124847.90625,129979.42857142857
Ставропольский край,36.0,106825512,24.0,25614.0,26.0,2780204,0.009212993003391118,2967375.3333333335,115841.83333333333
Тамбовская область,37.0,72095116,135.0,133596.0,79.0,980984,0.13618570741214944,1948516.6486486488,7266.548148148148
Тверская область,50.0,246374096,327.0,927.0,34.0,1230190,0.0007535421357676457,4927481.92,3762.0489296636088
Томская область,20.0,51184619,59.0,1763.0,11.0,1068304,0.0016502793212418937,2559230.95,18106.84745762712
Тульская область,43.0,374723488,29.0,13864.0,16.0,1432570,0.009677712083877228,8714499.720930232,49398.96551724138
Тюменская область,77.0,695223324,58.0,5974.0,9.0,3806505,0.0015694186662043002,9028874.337662337,65629.39655172414
Удмуртская Республика,52.0,367639110,41.0,79358.0,31.0,1484460,0.05345917033803538,7069982.884615385,36206.34146341463
Ульяновская область,252.0,68940307,19.0,1454.0,30.0,1203969,0.001207672290565621,273572.6468253968,63366.78947368421
Хабаровский край,32.0,678514907,53.0,47255.0,15.0,1298978,0.03637859917565964,21203590.84375,24509.01886792453
Ханты-Мансийский автономный округ - Югра,51.0,1697528996,10.0,1285.0,155.0,1702240,0.0007548876774132907,33284882.274509802,170224.0
Челябинская область,70.0,302449287,43.0,1740.0,63.0,3418606,0.0005089793910149342,4320704.1,79502.46511627907
Чеченская Республика,21.0,23195902,19.0,4548.0,13.0,1516387,0.0029992343643146504,1104566.761904762,79809.84210526316
Чувашская Республика,30.0,147710317,64.0,19324.0,10.0,1198429,0.016124442916518208,4923677.233333333,18725.453125
Чукотский автономный округ,8.0,155001500,8.0,370.0,1.0,50040,0.007394084732214229,19375187.5,6255.0
Ямало-Ненецкий автономный округ,38.0,2360857034,35.0,642.0,20.0,552117,0.0011627970158499014,62127816.684210524,15774.771428571428
Ярославская область,43.0,269834684,12.0,30152.0,11.0,1227383,0.024566088987707995,6275225.209302326,102281.91666666667
